geneid	baseMean	log2FoldChange	lfcSE	pvalue	padj
HIS92_RS00005	4.23126588596341	-2.89452591708192e-07	0.00144269444693941	0.660446456835977	0.999876031817088
HIS92_RS00010	116.61012987548	-2.94035764530886e-07	0.00144269133922009	0.858985333477977	0.999876031817088
HIS92_RS00015	34.7217433994248	-1.34148049114739e-06	0.00144269215287996	0.378769201341902	0.999876031817088
HIS92_RS00020	7.28738071942497	-7.67062224477078e-08	0.00144269394429654	0.932152321077664	0.999876031817088
HIS92_RS00025	17.1635729437186	1.97346651596014e-07	0.00144269261179269	0.878703486889888	0.999876031817088
HIS92_RS00030	38.862903725754	9.57856423696793e-08	0.00144269253924325	0.943498887251651	0.999876031817088
HIS92_RS00035	6.96599895725703	-4.45719269426439e-07	0.00144269410640192	0.599103237250018	0.999876031817088
HIS92_RS00040	24.333692322747	-1.10440859544692e-06	0.00144269303978248	0.384643998066831	0.999876031817088
HIS92_RS00045	8220.72864699569	-3.24906717232819e-07	0.00144269083116804	0.856855227900059	0.999876031817088
HIS92_RS00050	30.3332397950596	-3.98118249346563e-08	0.00144269143873623	0.982127527743972	0.999876031817088
HIS92_RS00055	32.5747229219479	-1.43886120160519e-06	0.00144269104182624	0.417962663293719	0.999876031817088
HIS92_RS00060	11.5250158368528	7.8288662865684e-07	0.00144269373053318	0.438653275403418	0.999876031817088
HIS92_RS00070	4.53352392560198	1.42862396873609e-07	0.00144269440854902	0.831015348663747	0.999876031817088
HIS92_RS00075	11.9898140269749	4.42057063340852e-07	0.00144269386672496	0.632254666326408	0.999876031817088
HIS92_RS00080	4.26581207781876	-3.96585897606993e-07	0.00144269461267877	0.500788498244268	0.999876031817088
HIS92_RS00085	5.35735799239757	-3.43531782642149e-07	0.00144269433888216	0.632029243717273	0.999876031817088
HIS92_RS00090	2.99777425071783	-2.34729488138539e-07	0.00144269464625221	0.659271376497377	0.999876031817088
HIS92_RS00095	3.95131197953128	7.89379858121264e-08	0.00144269456851153	0.892953397460854	0.999876031817088
HIS92_RS00100	29.2460570081729	7.24046366879197e-09	0.0014426924518936	0.995083079929215	0.999876031817088
HIS92_RS00110	5.70148848564375	1.73030613261755e-07	0.00144269397772194	0.845012660811458	0.999876031817088
HIS92_RS00115	24.5445027327729	-1.76963613866963e-07	0.0014426935186953	0.867642162753673	0.999876031817088
HIS92_RS00120	967.831675639191	3.20865160351235e-07	0.00144268039452449	0.919741350883148	0.999876031817088
HIS92_RS00125	1138.58266850931	1.65232402268007e-06	0.00144269093665768	0.361503896873615	0.999876031817088
HIS92_RS00130	1093.89071370491	2.1181113460618e-06	0.00144269053543416	0.276958973604399	0.999876031817088
HIS92_RS00135	369.874529377573	-3.80541398415755e-07	0.00144268200714903	0.902474233261869	0.999876031817088
HIS92_RS00140	98.726295259525	5.41114151639065e-07	0.00144269059806081	0.761574900663728	0.999876031817088
HIS92_RS00150	584.292653817063	4.12277350207021e-07	0.00144269115263746	0.803981694019683	0.999876031817088
HIS92_RS00155	7.018283728715	1.19049830226238e-06	0.00144269377152198	0.253845997202662	0.999876031817088
HIS92_RS00175	3.68419053495406	6.47227386359004e-08	0.00144269454869753	0.925558848761071	0.999876031817088
HIS92_RS00180	8.78977095576609	-9.81804860409018e-09	0.0014426937502867	0.992857700891276	0.999876031817088
HIS92_RS00185	6.47405253829353	-1.54292926240117e-08	0.00144269431844999	0.983640945648437	0.999876031817088
HIS92_RS00190	3.25037072022188	-2.54010709782222e-07	0.00144269465779001	0.638709129669532	0.999876031817088
HIS92_RS00195	59.700217113202	-8.61057371502113e-08	0.00144269326513339	0.942841765290899	0.999876031817088
HIS92_RS00200	3.40847532254345	1.38049684863854e-07	0.00144269439937023	0.847200008737995	0.999876031817088
HIS92_RS00205	9.37893278290419	-3.56236773772393e-07	0.00144269349054001	0.740075946982284	0.999876031817088
HIS92_RS00210	162.238140021859	-1.06160107370236e-06	0.00144268989917575	0.590176531438668	0.999876031817088
HIS92_RS00215	14.6269239977855	-8.41328456038702e-07	0.00144269331887426	0.466700672311805	0.999876031817088
HIS92_RS00220	376.713417571436	3.9409164465359e-09	0.00144269283937949	0.993542108464761	0.999876031817088
HIS92_RS00225	28.3821307856935	-2.07866315185237e-07	0.00144269266879292	0.874069991670429	0.999876031817088
HIS92_RS00230	9.86476864194613	4.14247453974192e-07	0.00144269362472484	0.688650233359188	0.999876031817088
HIS92_RS00245	6.47051380584477	4.61882782642469e-07	0.00144269390728254	0.618191540135584	0.999876031817088
HIS92_RS00250	3.62417613854714	-3.86724733251864e-07	0.00144269443128774	0.574684314650852	0.999876031817088
HIS92_RS00255	6.67262259274252	-1.88782337607893e-07	0.00144269379747077	0.841421744625913	0.999876031817088
HIS92_RS00260	391.597739164345	-4.98566036164288e-07	0.00144268724444511	0.835226615906661	0.999876031817088
HIS92_RS00265	4.77150382532197	-1.91031654953902e-07	0.00144269452660378	0.76063751893694	0.999876031817088
HIS92_RS00280	22.1883031407436	-4.79498147591088e-07	0.00144269265640267	0.717163080215874	0.999876031817088
HIS92_RS00285	104.016383636971	8.3679308367425e-07	0.0014426930240635	0.498905613757353	0.999876031817088
HIS92_RS00290	10.0284602323534	3.69215302351126e-07	0.00144269358094196	0.717861152802651	0.999876031817088
HIS92_RS00295	1754.93815182941	1.34752811935475e-07	0.00144269293221004	0.90851456016532	0.999876031817088
HIS92_RS00300	359.508107118724	-2.37134211824061e-07	0.00144268460802067	0.932487681207203	0.999876031817088
HIS92_RS00305	131.973135230857	8.35435637545942e-09	0.00144268965170004	0.995256211504513	0.999876031817088
HIS92_RS00310	36.6053538216167	5.64395546874582e-07	0.00144269206728944	0.702899888562922	0.999876031817088
HIS92_RS00315	59.4745278534045	-1.04961374378279e-06	0.00144268707350438	0.666100029971635	0.999876031817088
HIS92_RS00320	14.8599150007633	4.54442574502176e-07	0.00144269364107497	0.654043991856097	0.999876031817088
HIS92_RS00325	5.71841266013945	1.13833434229056e-07	0.00144269440970001	0.866706697363636	0.999876031817088
HIS92_RS00340	10.7767931030022	5.92068417415178e-08	0.00144269434265908	0.928635736686672	0.999876031817088
HIS92_RS00345	1179.20177504519	7.86833305085313e-08	0.0014426925393032	0.947151758515241	0.999876031817088
HIS92_RS00350	4.38251745923308	8.11050954517467e-07	0.00144269456846882	0.214056549881834	0.999876031817088
HIS92_RS00355	10.2861189467482	1.19107296953807e-06	0.00144269364551985	0.271938194100108	0.999876031817088
HIS92_RS00360	12.1147118985165	3.61171412543063e-08	0.00144269422261862	0.95915738862872	0.999876031817088
HIS92_RS00365	7.17496415628482	6.93716451129182e-07	0.00144269440425516	0.335815067291576	0.999876031817088
HIS92_RS00370	5.39350431771777	7.61797704080771e-07	0.00144269445197753	0.281369689332694	0.999876031817088
HIS92_RS00380	3.2469252824533	-7.42384987455558e-07	0.00144269487235034	0.0910024560131852	0.999876031817088
HIS92_RS00385	458.26044716958	6.71921826870046e-07	0.0014426914436869	0.677614801714007	0.999876031817088
HIS92_RS00390	6.0303464459193	-3.49998164285069e-08	0.00144269458256917	0.948843688005458	0.999876031817088
HIS92_RS00395	4.06363927536879	2.89737435512447e-07	0.00144269464991876	0.586363343258613	0.999876031817088
HIS92_RS00400	159.060922232032	-1.07557185911052e-06	0.00144268977497179	0.589386900216487	0.999876031817088
HIS92_RS00405	11.399900298214	-6.81692925477082e-08	0.00144269349343785	0.94956140732909	0.999876031817088
HIS92_RS00410	15.5067161860098	-7.88737490041651e-07	0.00144269351549405	0.466112813763213	0.999876031817088
HIS92_RS00425	14.7116429320778	3.55314276700926e-07	0.00144269291657446	0.772391821556549	0.999876031817088
HIS92_RS00430	7.28852360836722	-9.25653584357696e-08	0.00144269414412749	0.908102236437565	0.999876031817088
HIS92_RS00440	4.38821423877355	6.60685153839236e-07	0.00144269430230223	0.383299195557405	0.999876031817088
HIS92_RS00445	7.97318024644621	2.74494525067188e-07	0.0014426939790431	0.756800351067734	0.999876031817088
HIS92_RS00450	1049.46122813171	5.32732498781208e-07	0.00144269093057612	0.756291575443734	0.999876031817088
HIS92_RS00455	330.969476408359	-6.51045551688194e-07	0.00144268977657981	0.74164065971866	0.999876031817088
HIS92_RS00470	2.10599528612964	4.8261921028902e-07	0.00144269492941811	0.182501756693053	0.999876031817088
HIS92_RS00480	14.7802451505603	-2.1391450164129e-06	0.00144269325992039	0.117071054076339	0.999876031817088
HIS92_RS00485	60.1656117134819	-1.00990755020961e-06	0.00144269175036514	0.524341054360199	0.999876031817088
HIS92_RS00490	36.116324367625	-7.46970837769068e-07	0.00144269091953498	0.669816576895598	0.999876031817088
HIS92_RS00495	42.3667722406985	-3.52998352281285e-08	0.00144269243029645	0.979411399495455	0.999876031817088
HIS92_RS00500	39.3009476479288	-1.0691794400891e-06	0.00144269073522477	0.553818931563398	0.999876031817088
HIS92_RS00505	7.94174719884481	-7.73829335533299e-08	0.00144269396597898	0.927981281563646	0.999876031817088
HIS92_RS00510	174.366514414675	4.18226385073572e-07	0.00144268389656638	0.88168853645914	0.999876031817088
HIS92_RS00515	5.18814744122789	-1.67934304730045e-07	0.00144269465325867	0.745787222277849	0.999876031817088
HIS92_RS00520	6.6837490636288	-9.73680734404301e-07	0.0014426942348375	0.248811926319205	0.999876031817088
HIS92_RS00525	10.4822159578607	-4.17293732789357e-07	0.00144269372355232	0.672614625483086	0.999876031817088
HIS92_RS00530	10.6636249301622	3.62203548119738e-07	0.00144269344412573	0.741181326911369	0.999876031817088
HIS92_RS00535	15.5403034020909	-2.78208292088249e-07	0.00144269310194723	0.815859487848343	0.999876031817088
HIS92_RS00540	4.51277606591204	-4.90583273688498e-07	0.00144269467931598	0.368838129651773	0.999876031817088
HIS92_RS00545	24.8195104264452	8.1650902188375e-08	0.00144269406501221	0.91743836693997	0.999876031817088
HIS92_RS00550	13.4664107723281	1.19015904919477e-07	0.00144269433941806	0.861531991504459	0.999876031817088
HIS92_RS00555	4.85080065587338	2.62950107675654e-08	0.00144269459452906	0.97217613664689	0.999876031817088
HIS92_RS00560	2132.53989091785	4.50180535722855e-07	0.00144269024395546	0.806924814877589	0.999876031817088
HIS92_RS00565	43.5146670221027	-2.72624122010222e-07	0.00144269067108448	0.878226878741362	0.999876031817088
HIS92_RS00570	3.8432674661613	-7.88814727117073e-07	0.0014426946149418	0.214246616365615	0.999876031817088
HIS92_RS00585	2872.37025106081	4.917226417112e-07	0.00144268755016171	0.831436700096557	0.999876031817088
HIS92_RS00590	4942.55702696439	-8.25975954129844e-07	0.00144269133227753	0.621962793788438	0.999876031817088
HIS92_RS00595	491.653030713127	1.18235063611489e-06	0.00144269509853213	0.00462761814655797	0.999876031817088
HIS92_RS00600	643.955587680725	1.82020648477037e-06	0.00144269251263515	0.223230451855432	0.999876031817088
HIS92_RS00605	26.0698719167489	5.8809163876708e-07	0.00144269259930297	0.659984467638153	0.999876031817088
HIS92_RS00610	475.543710897713	-7.89139644561544e-07	0.00144269063961284	0.662515843371562	0.999876031817088
HIS92_RS00615	275.863035826541	-5.01193444520267e-07	0.00144269033724422	0.788183009219974	0.999876031817088
HIS92_RS00620	161.071271163109	-4.17195088414986e-07	0.00144269349134971	0.697532370379089	0.999876031817088
HIS92_RS00625	139.750780377758	-2.75622672035296e-07	0.00144269329431762	0.80817861940472	0.999876031817088
HIS92_RS00630	760.98498673801	-6.96147486782473e-07	0.00144269226598286	0.629474272156385	0.999876031817088
HIS92_RS00635	182.819043321713	-1.44515873026742e-06	0.00144268811514543	0.529297297223662	0.999876031817088
HIS92_RS00645	33.9165062276579	1.99797343012237e-07	0.00144269199290459	0.891398685565254	0.999876031817088
HIS92_RS00650	37.5027821214193	-5.66542211219828e-07	0.00144269255590753	0.677939350363977	0.999876031817088
HIS92_RS00655	9.99918752570936	6.0721424430881e-08	0.00144269402125802	0.942014620166168	0.999876031817088
HIS92_RS00660	8.84022580761765	-1.54059308052559e-06	0.00144269463185075	0.0503041764025052	0.999876031817088
HIS92_RS00665	12645.6566638807	1.1883245407781e-06	0.0014426908748879	0.505037449992447	0.999876031817088
HIS92_RS00670	12.0900817115205	-5.19994765597537e-07	0.00144269392623588	0.571243522259634	0.999876031817088
HIS92_RS00675	54.1285581039498	-6.6990158242886e-07	0.00144269209685542	0.651666560347941	0.999876031817088
HIS92_RS00680	23.4452543547578	-1.25616142203492e-08	0.00144269207130779	0.99460151815947	0.999876031817088
HIS92_RS00685	4.8570641856033	4.46373384684333e-07	0.00144269456084176	0.459602880677207	0.999876031817088
HIS92_RS00690	406.572742397153	-3.69362919625511e-07	0.00144269056631179	0.83933512797411	0.999876031817088
HIS92_RS00695	6.06662511140052	1.98263683032995e-07	0.00144269398528276	0.820690774346607	0.999876031817088
HIS92_RS00700	5.53635800274104	1.95863981769129e-07	0.00144269441560439	0.769878074465087	0.999876031817088
HIS92_RS00705	2.69047812075057	-3.16273055956046e-07	0.00144269473881864	0.519758511705221	0.999876031817088
HIS92_RS00735	52.328583096175	-4.15222124338712e-08	0.00144269255995894	0.976059868527086	0.999876031817088
HIS92_RS00740	12.614929739723	1.53077287167778e-06	0.00144269370582269	0.173110281627961	0.999876031817088
HIS92_RS00745	41.4841126523709	-1.26923802857637e-06	0.00144268944664726	0.539449902773891	0.999876031817088
HIS92_RS00750	18.4051168438337	-5.99713820792753e-08	0.00144269396153282	0.949623133030458	0.999876031817088
HIS92_RS00755	31.3630115186478	-2.18178285206062e-07	0.00144269019625887	0.908058868509267	0.999876031817088
HIS92_RS00765	482.09844986502	-7.03087383809728e-07	0.00144269222013811	0.629426018732021	0.999876031817088
HIS92_RS00770	201.077637257477	-6.75289193881579e-07	0.00144269217386982	0.644582362190389	0.999876031817088
HIS92_RS00775	265.237795396112	-1.9420422175918e-07	0.00144269248016918	0.888758265396072	0.999876031817088
HIS92_RS00780	15.2397508560187	-5.79410054093327e-07	0.00144269285977018	0.64991777286306	0.999876031817088
HIS92_RS00785	4.89143503560695	-1.90582897559117e-07	0.00144269470001784	0.706939793544937	0.999876031817088
HIS92_RS00790	6.95365476441725	5.51119445834189e-07	0.00144269415290577	0.507016029127434	0.999876031817088
HIS92_RS00795	51.5525820622631	-5.96835272393259e-07	0.00144269249951275	0.663803427514684	0.999876031817088
HIS92_RS00800	17.7472744263165	3.54678452495354e-07	0.00144269296072984	0.770767820131188	0.999876031817088
HIS92_RS00805	5.46358258519865	1.0848113106068e-07	0.00144269412806669	0.888327837837396	0.999876031817088
HIS92_RS00810	4302.5357075711	1.39364720920694e-06	0.00144269053600635	0.453220246798045	0.999876031817088
HIS92_RS00815	29.1903677432436	9.37224226133932e-07	0.00144269168259927	0.55462823447493	0.999876031817088
HIS92_RS00820	2.32371880125308	-7.02682830817483e-08	0.00144269469104873	0.883706009908753	0.999876031817088
HIS92_RS00825	10.287154931074	-7.701585057111e-07	0.00144269364399439	0.460639544890077	0.999876031817088
HIS92_RS00830	107.924225560099	8.63324288924013e-07	0.00144269254546446	0.528842897501327	0.999876031817088
HIS92_RS00835	51.5800841525848	1.62413014243743e-06	0.00144269063738793	0.3842634385739	0.999876031817088
HIS92_RS00840	10.2278486988378	-5.86481579692783e-07	0.00144269389787471	0.532896365282029	0.999876031817088
HIS92_RS00845	19.8576540340158	-4.15143166203389e-07	0.00144269341420625	0.704566780156036	0.999876031817088
HIS92_RS00850	32.4708783381145	-1.06521275018445e-07	0.00144269283507367	0.934020126553124	0.999876031817088
HIS92_RS00855	17.8748339709846	-1.33548490597098e-07	0.00144269397136669	0.880497348600964	0.999876031817088
HIS92_RS00860	5.2721787346846	6.9753629743038e-08	0.0014426942804121	0.925724924446742	0.999876031817088
HIS92_RS00870	118.95174352945	6.90266382665466e-08	0.00144269320109713	0.949740731239427	0.999876031817088
HIS92_RS00875	30.9845012460798	3.01475585068213e-07	0.00144269333575722	0.78553944654768	0.999876031817088
HIS92_RS00880	271.913066496723	-9.64595586050053e-08	0.00144269214206618	0.949065905022902	0.999876031817088
HIS92_RS00885	253.71274832964	3.59491095715962e-07	0.00144269217285228	0.801708107116387	0.999876031817088
HIS92_RS00890	154.533299348635	1.88811410580164e-07	0.00144269176032902	0.900865495430018	0.999876031817088
HIS92_RS00895	43.8926287214754	5.65288968848028e-07	0.00144269248066693	0.678035474125329	0.999876031817088
HIS92_RS00900	2505.66054842755	1.28613095980367e-06	0.00144268749774805	0.585027952224506	0.999876031817088
HIS92_RS00905	5.21831896173108	1.0595098927552e-07	0.00144269389846637	0.905165398659689	0.999876031817088
HIS92_RS00910	4.8320756342873	-5.95941215182525e-08	0.00144269437000625	0.935657689612285	0.999876031817088
HIS92_RS00920	32.4995044656554	3.03706172334997e-07	0.00144269080624122	0.860521782203624	0.999876031817088
HIS92_RS00925	9.92903147940434	5.17386559069416e-07	0.00144269348850734	0.631104417485066	0.999876031817088
HIS92_RS00930	53.9549117215119	1.91167586793398e-07	0.00144268909493182	0.925369327500073	0.999876031817088
HIS92_RS00935	13.3446481618858	-5.59320412362704e-07	0.00144269308270627	0.642634600138875	0.999876031817088
HIS92_RS00940	80.0577715156084	2.91938006952137e-07	0.00144268859236	0.891646694966594	0.999876031817088
HIS92_RS00945	46.894593445253	-5.79793973894159e-07	0.00144269114846684	0.732940333315511	0.999876031817088
HIS92_RS00950	32.8426578774261	8.87707467581909e-08	0.00144269126592201	0.956737206662234	0.999876031817088
HIS92_RS00955	34.1581309304685	-1.10890167033923e-06	0.00144269232195464	0.448370333841681	0.999876031817088
HIS92_RS00960	5.90732075879767	-4.18219133255877e-07	0.00144269418958775	0.601942409526083	0.999876031817088
HIS92_RS00965	50.4868962412132	-3.84754072423246e-07	0.00144269318300094	0.743978358347629	0.999876031817088
HIS92_RS00970	176.267797114474	-1.89570378967152e-07	0.00144268991645546	0.923746290158201	0.999876031817088
HIS92_RS00975	89.9778427622526	-7.06342528048543e-07	0.00144269160752221	0.659659608852021	0.999876031817088
HIS92_RS00980	125.57592517636	2.17045455551413e-08	0.00144269007064848	0.99006358935283	0.999876031817088
HIS92_RS00985	8.46517119245595	1.00263743669565e-07	0.00144269380546563	0.91503572671777	0.999876031817088
HIS92_RS00995	98.9040831612272	-1.67207048048203e-07	0.00144268485200559	0.951886567579079	0.999876031817088
HIS92_RS01000	7.68529623008043	-1.79625398123044e-07	0.00144269381954303	0.851163288730157	0.999876031817088
HIS92_RS01010	6.24405481276638	-4.24014415949329e-08	0.00144269425489232	0.9561321688179	0.999876031817088
HIS92_RS01015	3.09205093253696	2.92022320050524e-07	0.00144269474184969	0.54288974383275	0.999876031817088
HIS92_RS01020	6.56868114031271	-1.31099537703765e-07	0.00144269398167918	0.886343985931347	0.999876031817088
HIS92_RS01025	25.8101947208339	8.13216064177277e-07	0.00144269403183365	0.363865285535131	0.999876031817088
HIS92_RS01030	8.73833697757167	2.81747062417578e-07	0.00144269408386517	0.736359672595112	0.999876031817088
HIS92_RS01035	3.83046676105095	2.2740161518588e-07	0.001442694298345	0.760490595848707	0.999876031817088
HIS92_RS01040	14.4032906721877	-7.80741704816858e-07	0.00144269308956651	0.524273439669336	0.999876031817088
HIS92_RS01045	28.6650200517714	-1.80586625211112e-07	0.00144269393299621	0.839619608596347	0.999876031817088
HIS92_RS01050	30.8215261127399	-9.72917064297033e-07	0.00144269258281191	0.480295780914182	0.999876031817088
HIS92_RS01055	138.492095942394	-5.80196968936502e-07	0.00144269069132483	0.746911991992457	0.999876031817088
HIS92_RS01060	4.50498528515799	8.9336032945404e-07	0.00144269456690065	0.180039677129896	0.999876031817088
HIS92_RS01065	89.3988157683585	-1.90284216626978e-07	0.00144269339420242	0.863363551661648	0.999876031817088
HIS92_RS01070	169.412594995835	-1.21054653691429e-07	0.0014426899145119	0.951532673097654	0.999876031817088
HIS92_RS01075	49.3027362103266	-1.31381490115052e-06	0.00144269249954154	0.360610075904703	0.999876031817088
HIS92_RS01080	73.536664903432	-1.13673759264469e-06	0.00144269125824485	0.504766777241147	0.999876031817088
HIS92_RS01085	37.6768051875243	-4.71212066692436e-07	0.00144269278643242	0.715860939337841	0.999876031817088
