geneid	baseMean	log2FoldChange	lfcSE	pvalue	padj
HIS92_RS00005	4.23126588596341	-3.56981431016607e-07	0.00144269438030885	0.609067979766786	NA
HIS92_RS00010	116.61012987548	1.0811706923769e-06	0.0014426915280878	0.508231624816164	0.999769362641297
HIS92_RS00015	34.7217433994248	-5.1701464225044e-09	0.00144269159968216	0.997113386378443	NA
HIS92_RS00020	7.28738071942497	-6.28951761967332e-07	0.00144269399481304	0.487103105777591	NA
HIS92_RS00025	17.1635729437186	-4.89819328477915e-07	0.00144269270504932	0.711318516841507	NA
HIS92_RS00030	38.862903725754	-1.37679052563923e-06	0.00144269290178429	0.302548280613611	NA
HIS92_RS00035	6.96599895725703	6.05262070536988e-08	0.00144269380876689	0.946638839590816	NA
HIS92_RS00040	24.333692322747	-4.280755027083e-07	0.00144269281378631	0.738180771430755	NA
HIS92_RS00045	8220.72864699569	8.68858534552386e-07	0.00144269095341039	0.615214892865866	0.999769362641297
HIS92_RS00050	30.3332397950596	-2.04311703796666e-08	0.0014426914296375	0.991430654220642	NA
HIS92_RS00055	32.5747229219479	1.57269881602712e-07	0.00144269058287667	0.930160424611279	NA
HIS92_RS00060	11.5250158368528	1.97140585533349e-07	0.00144269368001195	0.841339704595375	NA
HIS92_RS00070	4.53352392560198	2.67445618137004e-07	0.00144269429940418	0.715475564046796	NA
HIS92_RS00075	11.9898140269749	5.67531859433587e-07	0.00144269395483333	0.530371927029815	NA
HIS92_RS00080	4.26581207781876	-3.89135235457098e-07	0.00144269456666093	0.526519264777356	NA
HIS92_RS00085	5.35735799239757	-5.8741973781038e-07	0.00144269441031901	0.403458312298069	NA
HIS92_RS00090	2.99777425071783	3.9483417096258e-07	0.00144269468773731	0.469596303182613	NA
HIS92_RS00095	3.95131197953128	-1.21658399994844e-08	0.00144269462013855	0.983946827064902	NA
HIS92_RS00100	29.2460570081729	-1.75473937006736e-07	0.00144269246658975	0.898715401396496	NA
HIS92_RS00110	5.70148848564375	-3.15275824715559e-07	0.00144269411879743	0.702856929024204	NA
HIS92_RS00115	24.5445027327729	-2.2920025502545e-08	0.00144269353197143	0.983725154869405	NA
HIS92_RS00120	967.831675639191	1.09123256440279e-06	0.00144268057957686	0.735164977779402	0.999769362641297
HIS92_RS00125	1138.58266850931	3.97012184435337e-07	0.00144269045449566	0.824706723122519	0.999769362641297
HIS92_RS00130	1093.89071370491	4.45316102427483e-07	0.001442689740071	0.816766404968482	0.999769362641297
HIS92_RS00135	369.874529377573	4.30847896425543e-07	0.00144268199809929	0.887390157466495	0.999769362641297
HIS92_RS00140	98.726295259525	1.06226693273339e-06	0.0014426906757319	0.556126313039914	0.999769362641297
HIS92_RS00150	584.292653817063	-3.6741974452881e-07	0.00144269114398773	0.829665697241157	0.999769362641297
HIS92_RS00155	7.018283728715	-4.48548606745918e-07	0.00144269359709031	0.669409576463738	NA
HIS92_RS00175	3.68419053495406	-4.49629053547881e-07	0.0014426946136797	0.433093290295241	NA
HIS92_RS00180	8.78977095576609	-1.07692101592402e-06	0.00144269376226214	0.300034641797056	NA
HIS92_RS00185	6.47405253829353	-2.49758027386634e-07	0.00144269435967443	0.727119219900157	NA
HIS92_RS00190	3.25037072022188	5.02350678138249e-08	0.0014426945874976	0.934429558159452	NA
HIS92_RS00195	59.700217113202	-3.48235004886139e-07	0.00144269328378107	0.762225766833733	0.999769362641297
HIS92_RS00200	3.40847532254345	3.42692388401372e-08	0.00144269460546573	0.955325473732775	NA
HIS92_RS00205	9.37893278290419	-3.92892796840753e-07	0.00144269348713399	0.714739964325422	NA
HIS92_RS00210	162.238140021859	-5.20906708282755e-07	0.0014426897094532	0.792859687495097	0.999769362641297
HIS92_RS00215	14.6269239977855	6.62506400007735e-07	0.00144269318858602	0.574095558580747	NA
HIS92_RS00220	376.713417571436	1.12438898040116e-07	0.00144269284170718	0.924906543377856	0.999769362641297
HIS92_RS00225	28.3821307856935	-7.63318704097387e-07	0.0014426928064593	0.556489323903527	NA
HIS92_RS00230	9.86476864194613	-3.28214255658519e-07	0.00144269375524229	0.733348954450143	NA
HIS92_RS00245	6.47051380584477	-4.71205388364753e-07	0.00144269387572494	0.613877672385786	NA
HIS92_RS00250	3.62417613854714	3.64117526932028e-07	0.00144269441643577	0.594524154974612	NA
HIS92_RS00255	6.67262259274252	-6.81642021312631e-07	0.00144269387294604	0.473201753042665	NA
HIS92_RS00260	391.597739164345	5.42906336060656e-07	0.00144268724900634	0.818345916260939	0.999769362641297
HIS92_RS00265	4.77150382532197	1.23668776639377e-07	0.00144269463239387	0.816152066292853	NA
HIS92_RS00280	22.1883031407436	-2.83787885572509e-07	0.00144269255537488	0.833536461454143	NA
HIS92_RS00285	104.016383636971	6.93941304832843e-07	0.00144269296045861	0.576249610303689	0.999769362641297
HIS92_RS00290	10.0284602323534	-5.51744597200152e-07	0.00144269379306094	0.573301651830735	NA
HIS92_RS00295	1754.93815182941	5.04080958401194e-07	0.00144269297899384	0.679731170327647	0.999769362641297
HIS92_RS00300	359.508107118724	-1.65914433931516e-06	0.0014426850171239	0.547744903420487	0.999769362641297
HIS92_RS00305	131.973135230857	-3.27641164293548e-08	0.00144268967649628	0.987863551431163	0.999769362641297
HIS92_RS00310	36.6053538216167	-3.68146128992409e-07	0.00144269203020261	0.804805996389732	NA
HIS92_RS00315	59.4745278534045	-2.84068176239554e-06	0.00144268835945208	0.24035312266423	0.999769362641297
HIS92_RS00320	14.8599150007633	-3.30391242705006e-07	0.00144269363208816	0.745884609883276	NA
HIS92_RS00325	5.71841266013945	4.64241200414148e-07	0.00144269443625936	0.496371084292216	NA
HIS92_RS00340	10.7767931030022	3.13701249608187e-07	0.00144269436703789	0.652857675862005	NA
HIS92_RS00345	1179.20177504519	1.30063158033612e-06	0.00144269287061061	0.328250932698359	0.999769362641297
HIS92_RS00350	4.38251745923308	1.02876528114917e-06	0.00144269466540361	0.112629125000564	NA
HIS92_RS00355	10.2861189467482	1.37011075280633e-07	0.00144269358012265	0.889581725751135	NA
HIS92_RS00360	12.1147118985165	5.39504929132193e-07	0.00144269433444757	0.463735503916714	NA
HIS92_RS00365	7.17496415628482	-3.6461822690029e-07	0.00144269436700002	0.613320581354444	NA
HIS92_RS00370	5.39350431771777	3.64196225920554e-07	0.00144269429647374	0.623581151904366	NA
HIS92_RS00380	3.2469252824533	5.29937132698239e-08	0.00144269459237905	0.941847610611609	NA
HIS92_RS00385	458.26044716958	1.59255968913903e-06	0.00144269182347244	0.326213277337858	0.999769362641297
HIS92_RS00390	6.0303464459193	-2.02194202130526e-07	0.001442694568477	0.73184796359231	NA
HIS92_RS00395	4.06363927536879	-3.20104884869247e-07	0.00144269455909879	0.602010204130758	NA
HIS92_RS00400	159.060922232032	-1.66529926596228e-06	0.0014426900682308	0.402610632295527	0.999769362641297
HIS92_RS00405	11.399900298214	-6.48442555905855e-07	0.00144269355061864	0.543647715652082	NA
