geneid	baseMean	log2FoldChange	lfcSE	pvalue	padj
HIS92_RS00005	4.23126588596341	-0.00911449575535486	0.103975199198823	0.192981775377141	NA
HIS92_RS00010	116.61012987548	-0.0196748478886299	0.105010671866627	0.236469272398907	0.99928875542119
HIS92_RS00015	34.7217433994248	-0.00951316401198226	0.103048401160094	0.557151212041953	0.99928875542119
HIS92_RS00020	7.28738071942497	0.00723905423060244	0.103577981295787	0.432394196900879	NA
HIS92_RS00025	17.1635729437186	0.0129816564482512	0.103935081647188	0.325857114188188	0.99928875542119
HIS92_RS00030	38.862903725754	0.00500452520270577	0.102880504620208	0.727039498576804	0.99928875542119
HIS92_RS00035	6.96599895725703	0.00387692147465747	0.103294138528672	0.699743909183109	NA
HIS92_RS00040	24.333692322747	-0.00191684451850364	0.102850410949596	0.879608581785163	0.99928875542119
HIS92_RS00045	8220.72864699569	-0.0124493980152537	0.103160812146798	0.48263348697982	0.99928875542119
HIS92_RS00050	30.3332397950596	-0.00393842379238618	0.102464483581459	0.813102156889961	0.99928875542119
HIS92_RS00055	32.5747229219479	-0.0184583468805193	0.104414432047237	0.312276546396247	0.99928875542119
HIS92_RS00060	11.5250158368528	-0.00246195844213397	0.10318306911876	0.947212223991131	0.99928875542119
HIS92_RS00070	4.53352392560198	0.000589368736449044	0.103328528267848	0.925300479798336	NA
HIS92_RS00075	11.9898140269749	-0.000835965249022579	0.103192751241195	0.967019186626297	0.99928875542119
HIS92_RS00080	4.26581207781876	0.00687017229224844	0.103810573117262	0.226630964369924	NA
HIS92_RS00085	5.35735799239757	-0.00293379676125549	0.103405514846153	0.675920580759017	NA
HIS92_RS00090	2.99777425071783	0.00162645611087504	0.103483711158595	0.792529329441149	NA
HIS92_RS00095	3.95131197953128	-0.00590158711794853	0.103736762989134	0.267220286136087	NA
HIS92_RS00100	29.2460570081729	-0.00677054133519585	0.103021814530396	0.617891310603544	0.99928875542119
HIS92_RS00110	5.70148848564375	-0.00257824763518355	0.103299836923708	0.766049656210171	NA
HIS92_RS00115	24.5445027327729	0.0013118079711577	0.103086656696295	0.899416089033823	0.99928875542119
HIS92_RS00120	967.831675639191	0.00488677350587997	0.0987180873486976	0.785583856376555	0.99928875542119
HIS92_RS00125	1138.58266850931	-0.000476389773605033	0.101940963025492	0.983217454023926	0.99928875542119
HIS92_RS00130	1093.89071370491	0.000452604209014295	0.101687039365483	0.951207655977055	0.99928875542119
HIS92_RS00135	369.874529377573	-0.0172361064984326	0.10106453824071	0.582490441215838	0.99928875542119
HIS92_RS00140	98.726295259525	-0.0139809184072251	0.103310666393107	0.46866414411314	0.99928875542119
HIS92_RS00150	584.292653817063	-0.0312383801177895	0.10918341021184	0.0738663818551519	0.99928875542119
HIS92_RS00155	7.018283728715	-0.00736666279236943	0.103454826038754	0.489914156267117	NA
HIS92_RS00175	3.68419053495406	-0.00665949909456909	0.103763959872556	0.233395110585133	NA
HIS92_RS00180	8.78977095576609	0.00200904738538419	0.103092145949503	0.917959830927094	0.99928875542119
HIS92_RS00185	6.47405253829353	-0.00367608244603217	0.103471000189533	0.550321934871405	NA
HIS92_RS00190	3.25037072022188	-0.000653933073790514	0.103471526795752	0.902999736284059	NA
HIS92_RS00195	59.700217113202	-0.0140777137385001	0.104391687956309	0.22032476901146	0.99928875542119
HIS92_RS00200	3.40847532254345	-0.00116586996557466	0.103447942750815	0.839760078523943	NA
HIS92_RS00205	9.37893278290419	-0.00150218302044685	0.103131909043367	0.842656117028027	0.99928875542119
HIS92_RS00210	162.238140021859	-0.0381052703676813	0.112036346631624	0.0673734001781986	0.99928875542119
HIS92_RS00215	14.6269239977855	-0.00541673971707267	0.103138390715091	0.641056117819613	0.99928875542119
HIS92_RS00220	376.713417571436	-0.0121775272928118	0.103868566529711	0.345432972429089	0.99928875542119
HIS92_RS00225	28.3821307856935	-0.00226600364782257	0.102773618065493	0.774547170699182	0.99928875542119
HIS92_RS00230	9.86476864194613	-0.00424811985874142	0.10326081305754	0.665880816133117	0.99928875542119
HIS92_RS00245	6.47051380584477	-0.00697097488457561	0.103586420897043	0.433522302425083	NA
HIS92_RS00250	3.62417613854714	0.0067347236913205	0.103746715396548	0.299133763769972	NA
HIS92_RS00255	6.67262259274252	-0.00418236820143869	0.10331576396808	0.66140377368633	NA
HIS92_RS00260	391.597739164345	0.0124709141309876	0.101881372725021	0.567881966446086	0.99928875542119
HIS92_RS00265	4.77150382532197	-0.00290961598786649	0.103479667058144	0.652719646379805	NA
