FEATURE_ID	G-t0-1	G-t0-2	G-t5-1	G-t5-2	G-t10-1	G-t10-2	G-t20-1	G-t20-2	G-t30-1	G-t30-2	G_M-t5-1	G_M-t5-2	G_M-t10-1	G_M-t10-2	G_M-t20-1	G_M-t20-2	G_M-t30-1	G_M-t30-2
HIS92_RS00005	0.2325478264398494	0.5075097293455245	0.6803248617803498	1.5368953249228432	0.5209205493653105	0.5062902478639287	1.0302041539144011	0.441225737248742	0.660349360324855	1.1336723665515864	0.46008336981811143	1.6856878048850008	0.4024302908359449	0.13778368983295172	0.6876513497583354	0.20043360079028352	0.30682779501411955	0.1007674743642446
HIS92_RS00010	23.9817388745364	18.40682346096877	26.161063592494795	23.90840861762326	36.64829276711243	35.102790518565726	37.814552473093315	22.365324765415224	28.663231617910238	34.81857602143552	40.74508633100675	19.82131909304044	39.15635457276578	18.30323167125463	44.17148670212366	30.479381847907316	21.988465847734552	13.033722398440784
HIS92_RS00015	3.363473198308815	4.0197459357433605	5.466628028433716	7.621372313259769	7.893153754621393	7.671470775580589	13.126574782326543	7.69856120797805	5.154515095162665	10.4851287184563	8.450096328668184	6.966021127471791	6.836873108771373	2.0877422671377057	12.550775628701805	7.178443132939426	4.226502077015687	5.691026631644226
HIS92_RS00020	0.26193112580950545	0.7621806765622319	0.5960006009339286	0.5770292916677824	0.6845309746172311	1.2672487551828784	1.1603743538674844	1.2148309107402187	0.6611440045611064	0.48644425423977306	0.4606370200826339	1.035644099358294	0.5036432039342752	0.9311590879685403	0.3872693522104705	0.7525304867216421	1.2671877165926095	0.8323320626187425
HIS92_RS00025	2.0729977671209427	2.0466106636464416	1.7327457704119926	1.043834212519025	2.6535054922771737	2.005873743918042	2.8425224818209602	1.4983665852691974	1.6818693911947329	1.0999596606074866	1.4322051022365156	2.3418238001816114	2.277700693710926	1.9885841928543564	2.3352078489752452	1.1060662378304627	3.125886434103031	1.6254410558673251
HIS92_RS00030	4.675761630283906	3.3427974172891886	9.433838083354184	7.032833006846931	8.848703731885406	11.232892965941033	16.606890961100145	6.730163245500811	6.562405198606116	7.410978213342942	8.506430304192639	4.674974178881069	9.858647835945458	7.45134194616603	8.34350304373447	4.307986192985827	11.91310052108155	4.471388729122747
HIS92_RS00035	3.8388847539276725	2.513381516758788	2.2461519246081387	3.5519358620439045	3.0097631741106827	1.6715614532650347	5.5271270479852	3.399072346212531	1.8168342188831992	3.7429182895671422	4.050681097234589	2.0237983458359605	2.6573174759960807	0.0	5.108267169633349	3.6396196714934024	3.5455656312742705	2.9942335239661255
HIS92_RS00040	0.5150305011480605	1.8967444365602033	1.6950773840986888	2.4677602306835644	3.244775737838935	2.896681027707731	3.493735826318404	1.9543911981772135	1.5843697163428645	1.5244006166027668	2.8021404174192694	1.52727639142279	1.8568212176991248	1.2969027344702324	3.2362934863515624	1.2207420016189052	1.7837938890261857	0.948483911318462
HIS92_RS00045	1035.741013409051	734.8478940417726	609.9280638246007	736.281930628843	723.1587105176131	809.6288780894998	706.9593228081237	604.7278646397209	903.7214720991182	689.2644399887724	789.1429113248388	546.6018196832499	706.3664170709066	487.4804724830456	732.4595990006528	732.738692169093	638.3047494057606	488.08904085993623
HIS92_RS00050	3.704005019330214	4.517293807147551	4.99313502159512	3.743932395127359	4.880697039098404	4.269258306312048	5.670763405781074	2.893804835289046	3.4028813883406945	3.0347986131625477	2.730104320602367	3.876667777327668	5.530093125721573	2.3237033096151865	5.637502056577344	2.6291110157716475	3.449739533131723	2.0770809130215464
HIS92_RS00055	3.3110381002626172	4.555503999125303	4.211534858640261	7.421008854627444	5.804543264356316	9.611478356273949	6.058581571829931	6.737446971956981	5.995552922314556	7.418998752534872	6.076021645851885	6.450857227352124	5.978964320991181	3.2411972751180076	7.875245219851413	4.839039790508274	5.508289462872527	2.8694737938008696
HIS92_RS00060	1.0171250726527992	1.6031615749419372	1.3225006658907732	4.4814144053824965	1.1392094257147911	1.9683807767420032	1.87747485993746	0.7147582036428219	0.8557798563711517	1.1018871600127567	1.1924902295597155	2.2342166317932044	2.2165007918939272	2.1427295316077726	2.6734856214903506	0.48703491780816555	0.7455628663894495	0.8814799626629247
HIS92_RS00065	0.1846181217537736	0.6043627311290215	0.5401052337798197	0.48805225585336104	0.41355524529765114	0.2679602329661506	0.4089360000270906	0.9340962172797795	0.0	0.7714411741855942	0.0	0.24331926677035406	0.0	0.21877104950575546	1.3648042056272305	0.31824571728533574	0.48717695696898383	0.4799916336128903
HIS92_RS00070	0.09732383883196916	0.3185976570539309	0.14236174170051585	0.3216038506880799	0.10900550731185571	0.21188807154063824	0.16168193964853783	0.369315707636774	0.09212117166168333	0.6100128399495746	0.38509996346948566	0.32067227310781066	0.2807025502812761	0.05766399896429368	0.4316845495464802	0.29359288003083783	0.32102706923006474	0.2952061220811673
HIS92_RS00075	0.5863023987816809	1.3861679880306041	0.762330350170035	0.12916130407432383	0.930290435634211	0.42548836992200884	0.7575642667168525	0.061801315385682384	0.36997351366348785	0.6805305981031168	0.9021971534749766	0.7727230047737303	0.7891427655988359	0.8684547722804232	0.794619337498521	0.4632243218264331	0.5801834669357898	0.33874157038808694
HIS92_RS00080	0.48531720300490305	0.8826256162530862	0.5521477139086897	0.3207433721578108	0.7247590252039102	0.0	0.44791484952800054	0.6138792866069454	0.0	0.11266309232810796	0.9601739891856239	0.10660476236426883	0.1866343377789889	0.09584952336205338	0.4783661563536246	0.06971603505748991	0.5336135565462949	0.07009911260121364
