geneid	baseMean	log2FoldChange	lfcSE	pvalue	padj
HIS92_RS00005	4.23126588596341	1.73877211212377e-08	0.00144269427023172	0.988201068391033	0.999928930216724
HIS92_RS00010	116.61012987548	7.42397533357626e-07	0.00144269144775587	0.647729172538463	0.999928930216724
HIS92_RS00015	34.7217433994248	6.35804281915293e-07	0.00144269181573927	0.680518549935418	0.999928930216724
HIS92_RS00020	7.28738071942497	2.57089659852948e-07	0.00144269400142129	0.768637042325786	0.999928930216724
HIS92_RS00025	17.1635729437186	6.42040830201711e-07	0.0014426928249574	0.615135785889348	0.999928930216724
HIS92_RS00030	38.862903725754	-5.50175330143904e-07	0.00144269263879667	0.679079855782185	0.999928930216724
HIS92_RS00035	6.96599895725703	9.30071668247593e-08	0.00144269392333835	0.914972584822979	0.999928930216724
HIS92_RS00040	24.333692322747	1.62922118583844e-07	0.00144269282446501	0.898151371954937	0.999928930216724
HIS92_RS00045	8220.72864699569	5.58873041935566e-08	0.00144269081205192	0.970326181514242	0.999928930216724
HIS92_RS00050	30.3332397950596	-1.02289020950122e-06	0.00144269169103036	0.523164372724772	0.999928930216724
HIS92_RS00055	32.5747229219479	5.03387146958138e-07	0.00144269070232599	0.777008527817995	0.999928930216724
HIS92_RS00060	11.5250158368528	-6.72564399338238e-07	0.00144269366827883	0.513886236623175	0.999928930216724
HIS92_RS00070	4.53352392560198	3.47520232673219e-07	0.00144269432827927	0.632547184558681	0.999928930216724
HIS92_RS00075	11.9898140269749	6.56294319148937e-07	0.00144269394144114	0.473969911801077	0.999928930216724
HIS92_RS00080	4.26581207781876	9.68906193222226e-08	0.00144269450671549	0.869611420055838	0.999928930216724
HIS92_RS00085	5.35735799239757	-9.44869137643526e-08	0.00144269421852246	0.897436486200936	0.999928930216724
HIS92_RS00090	2.99777425071783	-5.60761286973814e-07	0.0014426947566771	0.266575409540802	0.999928930216724
HIS92_RS00095	3.95131197953128	-2.155844987121e-07	0.00144269461083925	0.703780090857383	0.999928930216724
HIS92_RS00100	29.2460570081729	4.96456769120786e-08	0.001442692466689	0.970586547587957	0.999928930216724
HIS92_RS00110	5.70148848564375	-6.19974677854108e-07	0.00144269422399174	0.441366064860692	0.999928930216724
HIS92_RS00115	24.5445027327729	-6.14131417992304e-07	0.00144269361121432	0.556893150187597	0.999928930216724
HIS92_RS00120	967.831675639191	2.25664625398436e-06	0.00144268130586863	0.485924898067389	0.999928930216724
HIS92_RS00125	1138.58266850931	1.54393273621139e-06	0.0014426908732102	0.393901436256272	0.999928930216724
HIS92_RS00130	1093.89071370491	1.50670094945975e-06	0.00144269012761316	0.439043021743045	0.999928930216724
HIS92_RS00135	369.874529377573	2.41754714304611e-07	0.0014426821177638	0.935906327505995	0.999928930216724
HIS92_RS00140	98.726295259525	8.05962986343559e-07	0.00144269067686997	0.651980495541069	0.999928930216724
HIS92_RS00150	584.292653817063	1.36044591946345e-06	0.00144269146518106	0.416319777397182	0.999928930216724
HIS92_RS00155	7.018283728715	1.61620757239227e-06	0.00144269423984654	0.0926296480064516	0.999928930216724
HIS92_RS00175	3.68419053495406	1.88893317445141e-07	0.00144269453772523	0.768393364205939	0.999928930216724
HIS92_RS00180	8.78977095576609	-8.82292653417427e-08	0.00144269360721313	0.931669046716652	0.999928930216724
HIS92_RS00185	6.47405253829353	-9.88255661404053e-08	0.00144269437454688	0.88873338760902	0.999928930216724
HIS92_RS00190	3.25037072022188	6.52015407711443e-08	0.00144269465273422	0.90571052253214	0.999928930216724
HIS92_RS00195	59.700217113202	-2.54292880884458e-07	0.00144269327837806	0.826099182742423	0.999928930216724
HIS92_RS00200	3.40847532254345	-8.71472450604821e-07	0.00144269482375393	0.074948736952288	0.999928930216724
HIS92_RS00205	9.37893278290419	6.48669809593503e-08	0.00144269356697378	0.949319698585598	0.999928930216724
HIS92_RS00210	162.238140021859	7.20525808421082e-07	0.00144268975619393	0.713046565440178	0.999928930216724
HIS92_RS00215	14.6269239977855	-2.9876817396672e-07	0.00144269317834234	0.797330480008019	0.999928930216724
HIS92_RS00220	376.713417571436	2.86854826718308e-07	0.00144269285692509	0.81560561656461	0.999928930216724
HIS92_RS00225	28.3821307856935	3.42350318749391e-07	0.00144269268540402	0.792716138801373	0.999928930216724
HIS92_RS00230	9.86476864194613	-8.85894418164816e-07	0.00144269387070426	0.360497112267069	0.999928930216724
HIS92_RS00245	6.47051380584477	-2.13829614697853e-07	0.00144269388734574	0.815108472948008	0.999928930216724
HIS92_RS00250	3.62417613854714	-3.31347220960618e-07	0.00144269444806671	0.62401581438433	0.999928930216724
HIS92_RS00255	6.67262259274252	2.80177572975057e-07	0.00144269382741229	0.767711066344504	0.999928930216724
HIS92_RS00260	391.597739164345	-8.09150946959798e-07	0.00144268737694052	0.734593877902506	0.999928930216724
HIS92_RS00265	4.77150382532197	4.2130326027542e-07	0.00144269453600947	0.497589581289453	0.999928930216724
HIS92_RS00280	22.1883031407436	-7.44633600562399e-07	0.00144269283241945	0.56425057167382	0.999928930216724
HIS92_RS00285	104.016383636971	1.12594770395445e-06	0.00144269311679705	0.364766503028514	0.999928930216724
HIS92_RS00290	10.0284602323534	5.1889550644682e-07	0.00144269379753083	0.58847684631301	0.999928930216724
HIS92_RS00295	1754.93815182941	-1.63519029155851e-07	0.00144269293262797	0.897931118698531	0.999928930216724
HIS92_RS00300	359.508107118724	7.75894538543201e-07	0.00144268469851086	0.776554641386821	0.999928930216724
HIS92_RS00305	131.973135230857	5.37277334968012e-07	0.00144268973076405	0.783666822390051	0.999928930216724
HIS92_RS00310	36.6053538216167	-5.95976672701182e-07	0.00144269208816692	0.687735566380025	0.999928930216724
HIS92_RS00315	59.4745278534045	3.01796937403129e-07	0.00144268698229437	0.900215953030478	0.999928930216724
