Sample	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
logs | bowtie2 | G-t0-1	99.03															
logs | bowtie2 | G-t0-2	99.03															
logs | bowtie2 | G-t10-1	99.08															
logs | bowtie2 | G-t10-2	99.31															
logs | bowtie2 | G-t20-1	99.3															
logs | bowtie2 | G-t20-2	99.17															
logs | bowtie2 | G-t30-1	98.96															
logs | bowtie2 | G-t30-2	99.3															
logs | bowtie2 | G-t5-1	99.22															
logs | bowtie2 | G-t5-2	99.12															
logs | bowtie2 | G_M-t10-1	99.13															
logs | bowtie2 | G_M-t10-2	98.22															
logs | bowtie2 | G_M-t20-1	99.3															
logs | bowtie2 | G_M-t20-2	99.39															
logs | bowtie2 | G_M-t30-1	99.18															
logs | bowtie2 | G_M-t30-2	99.03															
logs | bowtie2 | G_M-t5-1	99.02															
logs | bowtie2 | G_M-t5-2	98.22															
qc | fastqc_posttrim | G_M-t10-2_2		85.18980723894387	42.0	149.601150652883	9.090909090909092	7124477.0										
qc | fastqc_posttrim | G_M-t20-1_1		83.09726028487545	40.0	149.69713381787662	18.181818181818183	6548572.0										
qc | fastqc_posttrim | G_M-t20-1_2		83.1121174544403	40.0	149.67120923462397	9.090909090909092	6548572.0										
qc | fastqc_posttrim | G_M-t20-2_1		87.4968982545322	42.0	149.70171828046375	27.27272727272727	9635505.0										
qc | fastqc_posttrim | G_M-t20-2_2		87.17485207376892	41.0	149.67754227723404	9.090909090909092	9635505.0										
qc | fastqc_posttrim | G_M-t30-1_1		85.21234280452535	41.0	149.6561695556155	18.181818181818183	6998624.0										
qc | fastqc_posttrim | G_M-t30-1_2		85.05553463894671	41.0	149.63093059435684	9.090909090909092	6998624.0										
qc | fastqc_posttrim | G_M-t30-2_1		88.08591273157144	42.0	149.69646112227426	27.27272727272727	9757811.0										
qc | fastqc_posttrim | G_M-t30-2_2		87.84787276280407	41.0	149.67691083584216	9.090909090909092	9757811.0										
qc | fastqc_posttrim | G_M-t5-1_1		85.54024116694767	41.0	149.63962132027163	18.181818181818183	6833215.0										
qc | fastqc_posttrim | G_M-t5-1_2		85.59275129393822	41.0	149.61423883194075	9.090909090909092	6833215.0										
qc | fastqc_posttrim | G_M-t5-2_1		86.03468847918747	42.0	149.47815907513743	18.181818181818183	7308848.0										
qc | fastqc_posttrim | G_M-t5-2_2		85.79396014496459	42.0	149.45569958494144	9.090909090909092	7308848.0										
qc | feature_counts | G-t0-1							89.87888621056018	7568781								
qc | feature_counts | G-t0-2							90.88774839792484	7670776								
qc | feature_counts | G-t10-1							91.64814479553989	7897174								
qc | feature_counts | G-t10-2							91.76538373678699	6222529								
qc | feature_counts | G-t20-1							92.13337994757153	8082597								
qc | feature_counts | G-t20-2							90.29982621253218	6483039								
qc | feature_counts | G-t30-1							89.68397896053557	8193505								
qc | feature_counts | G-t30-2							91.20541592844937	5950390								
qc | feature_counts | G-t5-1							91.73258612338529	10128426								
qc | feature_counts | G-t5-2							90.9785516850474	6449253								
qc | feature_counts | G_M-t10-1							91.67469868874761	7783159								
qc | feature_counts | G_M-t10-2							89.54810296952324	6379834								
qc | feature_counts | G_M-t20-1							91.98284755821574	6023563								
qc | feature_counts | G_M-t20-2							90.7265991766908	8741966								
qc | feature_counts | G_M-t30-1							91.10559447114176	6376138								
qc | feature_counts | G_M-t30-2							89.80232349243083	8762741								
qc | feature_counts | G_M-t5-1							90.4354392478504	6179648								
qc | feature_counts | G_M-t5-2							89.95855434399512	6574934								
